종목코드,유동자산,자산총계,유동부채,부채총계,결산기준일
6740,79996866270.0,208205897006.0,18131607882.0,77289311373.0,2021-09-30
265560,36047156830.0,62762171260.0,9003471360.0,11798408183.0,2021-09-30
12160,239032744690.0,512981330067.0,221744422462.0,321568820631.0,2021-09-30
36000,183271740406.0,876048800150.0,256770077686.0,691934839661.0,2021-09-30
15360,576232267000.0,1310251157000.0,248196449000.0,757423161000.0,2021-09-30
80520,65186281803.0,141128772953.0,9213474050.0,13890562744.0,2021-09-30
7310,1081180715525.0,2658154076891.0,754019848998.0,1145246407700.0,2021-09-30
46120,62223073017.0,130384579972.0,67310036089.0,72789166090.0,2021-09-30
2630,39833723898.0,82129887580.0,22118808519.0,29305987280.0,2021-12-31
271560,1003699658430.0,2978781672904.0,417631787103.0,780536102838.0,2021-09-30
1800,1140455728450.0,4834912149387.0,543140848966.0,1049515538228.0,2021-09-30
352910,34110052776.0,36520091254.0,3518518647.0,7203509381.0,2021-09-30
53980,40671236606.0,93001309718.0,25686800882.0,25715983504.0,2021-09-30
52420,110468230736.0,310219229403.0,12769662364.0,93447977978.0,2021-09-30
241790,58660317200.0,101952159703.0,17327348304.0,18447413347.0,2021-09-30
39200,25454771590.0,58317530618.0,18542524052.0,21867496771.0,2021-09-30
48260,749337401568.0,1237016664867.0,699987213143.0,977975943906.0,2021-09-30
138080,113275433802.0,201035109306.0,43209211305.0,45888110100.0,2021-09-30
67170,542274468607.0,718155767275.0,400903849776.0,521743277468.0,2021-09-30
49480,84165412523.0,136275167562.0,53996509209.0,57737903153.0,2021-09-30
244460,37204538282.0,52868330362.0,11309871410.0,15935513847.0,2021-09-30
226950,56617428450.0,66771864736.0,8397614193.0,40251137002.0,2021-09-30
82210,93609757573.0,322720958177.0,169278094255.0,210713466642.0,2021-09-30
321820,42563662250.0,56974683936.0,6792038653.0,31007857116.0,2021-09-30
122990,189975819561.0,422454485332.0,63785127109.0,67126959891.0,2021-09-30
232140,247934134586.0,404538619905.0,64457940953.0,76686654092.0,2021-09-30
67900,26238321101.0,274089871197.0,54830355519.0,94302033565.0,2021-09-30
155650,74242245488.0,124598783662.0,28331470525.0,29230949680.0,2021-09-30
